Area_sqft,Bedrooms,Bathrooms,Age_years,Parking,Location_Score,Price_Lakh
3195,2,2,8,2,8,389.73
1995,4,4,7,2,10,294.36
3634,1,1,25,2,8,386.89
1662,5,5,27,1,2,216.77
2022,5,5,25,2,7,310.85
3140,2,2,16,0,8,329.99
891,1,2,30,0,6,108.25
2198,2,2,1,1,5,271.84
918,3,2,24,0,9,190.95
2836,2,1,23,1,3,298.39
878,2,3,29,1,10,168.17
2296,5,5,2,0,4,322.94
2778,5,5,7,2,9,368.8
3565,5,4,11,0,6,431.56
2588,3,2,0,0,8,314.79
3599,5,5,9,1,7,430.84
2682,1,2,19,0,2,273.29
700,4,3,2,1,3,129.61
2363,1,2,5,2,1,264.23
1279,1,1,6,2,9,200.52
3477,5,5,19,2,7,422.84
3604,4,4,22,0,1,382.99
3619,4,4,24,1,3,376.5
1002,4,4,26,2,4,185.0
2954,3,4,17,1,4,352.73
2251,5,5,10,1,5,297.97
1304,4,4,18,2,3,212.57
2646,3,3,4,2,3,285.18
3231,2,3,18,1,1,326.61
2395,2,2,10,2,7,281.33
3273,3,4,23,1,10,409.57
2070,3,3,11,1,1,246.13
1460,5,5,9,2,2,246.18
3160,5,5,7,0,4,392.11
1985,2,2,23,2,4,229.79
3190,4,4,27,0,5,345.62
1528,2,1,27,1,2,175.12
3789,4,3,8,1,4,412.14
1002,4,4,3,0,1,178.83
3314,5,5,4,1,2,353.09
897,1,1,20,0,1,127.5
1370,1,1,7,0,10,219.28
3342,3,3,22,1,10,390.01
892,5,5,8,0,4,190.43
706,4,4,14,2,4,170.48
1538,1,1,14,2,7,209.0
2381,4,4,15,1,10,314.46
3439,1,1,13,1,9,377.34
1984,1,1,7,0,9,270.56
1363,1,1,17,0,5,176.76
3290,5,5,9,0,10,424.92
3812,2,2,27,0,1,373.17
1063,4,4,19,2,1,169.88
1520,5,5,5,2,6,266.75
595,5,5,11,1,2,138.5
2423,5,5,1,0,8,338.22
2257,5,5,6,0,9,313.55
3032,5,5,15,1,4,358.86
3978,3,3,2,0,5,440.05
2778,4,4,12,0,8,351.88
3296,5,5,2,0,3,388.21
2178,4,4,26,0,5,286.56
3742,3,2,17,0,3,384.49
1040,3,3,10,1,10,217.55
1559,4,3,7,0,3,197.67
3072,1,2,5,1,3,314.0
1683,2,2,0,0,7,256.77
2222,1,1,27,2,7,258.57
3814,1,1,0,2,7,432.95
3657,1,1,22,2,10,394.87
2319,5,4,7,2,8,335.37
3125,3,2,4,1,5,348.43
3229,1,1,27,1,5,333.02
3104,3,3,15,0,4,349.83
2097,4,4,10,2,7,303.97
3560,2,2,4,1,10,429.5
3193,4,5,3,0,4,372.3
1295,4,4,29,0,2,172.94
1551,5,4,5,1,4,216.49
2143,2,2,13,2,8,287.37
1863,4,3,21,0,9,274.77
2481,4,4,18,2,3,295.37
1854,2,3,8,2,7,254.1
2163,2,3,11,2,9,294.26
2029,4,3,10,0,4,256.13
2538,2,3,13,2,10,325.94
3919,4,3,22,0,3,407.69
1996,4,4,15,2,5,276.72
3802,5,4,0,0,1,398.92
2737,1,1,30,2,3,266.34
3796,4,3,12,1,8,436.4
1908,3,4,22,2,8,271.94
1900,1,1,20,2,4,211.96
1806,1,1,20,0,2,193.43
3180,1,1,29,0,8,318.62
3175,5,4,12,2,8,384.37
1472,4,5,1,1,10,274.79
2268,5,5,3,1,4,297.6
1782,4,5,27,0,3,240.53
3930,5,5,5,1,2,444.84
1209,5,5,25,2,9,241.32
1979,3,2,30,0,1,194.85
1934,5,5,26,2,7,298.15
1148,2,1,22,0,5,159.67
817,3,4,26,0,8,152.7
3796,5,5,4,0,4,414.28
1757,1,1,24,0,7,231.95
1183,2,2,2,1,5,197.47
1163,2,2,0,2,5,153.65
2498,2,2,3,2,9,307.09
3945,3,2,24,2,9,454.42
2131,5,5,19,0,9,314.56
1995,5,5,1,1,6,305.35
3804,1,2,25,2,6,390.35
1636,1,1,29,1,5,197.06
2353,2,3,29,0,9,293.23
2020,1,1,4,2,10,270.85
2989,3,3,2,1,8,381.47
1063,5,4,28,0,7,201.58
1791,2,1,27,1,7,233.51
3957,1,1,28,2,6,399.03
3958,3,4,8,2,5,428.39
3684,3,2,19,0,4,400.09
2136,1,1,5,0,3,234.57
3499,5,5,17,0,3,386.1
3652,1,1,5,1,6,398.51
1198,2,1,18,1,4,144.28
2660,1,1,27,1,6,311.39
501,3,3,11,0,3,111.29
1141,1,1,24,2,4,131.17
2767,5,5,10,2,9,403.57
2089,4,4,1,1,5,279.36
1354,1,1,14,1,7,191.91
2259,5,5,11,2,10,352.48
3796,5,5,11,2,2,432.72
2932,3,4,8,1,5,347.62
3974,5,5,20,1,9,466.02
2161,5,5,23,2,3,281.36
1653,5,5,1,0,9,280.82
1576,5,5,21,1,6,251.3
2207,2,2,2,2,4,283.83
3277,2,2,11,2,7,379.47
2195,3,3,27,2,8,290.5
2233,1,1,29,2,6,258.82
1939,5,5,25,0,5,276.29
2794,1,1,15,2,6,293.81
1335,1,1,20,1,5,169.98
702,3,4,27,0,8,190.87
3755,5,5,23,2,1,414.78
622,5,5,25,0,7,162.58
900,4,3,29,1,10,188.41
1266,1,2,0,2,10,211.97
793,1,2,20,1,2,117.8
2827,2,2,2,2,9,371.29
3431,4,3,19,2,1,364.27
697,2,3,1,2,10,185.48
3529,2,1,8,2,6,376.44
2430,2,2,18,2,9,311.8
3299,3,3,14,0,1,325.47
2691,3,3,17,2,4,285.46
1108,2,2,25,2,4,175.57
3772,4,4,10,0,9,435.05
1647,1,1,24,0,5,186.5
686,4,4,22,0,5,156.89
3897,5,5,15,0,6,463.71
3011,3,3,21,0,1,309.37
3920,1,2,16,0,1,351.48
2294,1,1,4,2,9,288.77
1159,5,4,11,2,3,188.22
3311,5,4,10,1,4,383.48
3502,2,1,29,2,1,345.6
2455,3,3,14,2,9,295.13
2950,3,3,26,0,8,341.91
1869,4,3,2,0,2,230.76
2486,2,1,0,2,8,297.23
2034,2,3,19,1,7,268.57
646,2,1,28,0,6,100.73
3719,2,2,15,2,1,347.77
3411,3,4,1,2,7,416.5
2234,3,3,1,1,10,337.25
2343,2,2,2,1,7,292.94
988,4,5,7,0,9,202.82
3476,1,1,23,1,1,313.04
2459,1,1,27,2,2,254.56
2163,4,5,14,2,9,320.15
3098,2,2,6,1,9,368.22
2885,3,2,5,1,6,342.73
3419,1,1,8,1,6,360.96
1140,5,4,19,1,4,212.1
2302,5,4,27,0,4,275.13
3020,4,4,0,1,5,354.33
2469,2,2,7,0,3,253.71
2698,1,1,22,2,1,252.55
1938,2,3,22,1,1,196.33
3869,1,2,30,0,7,396.98
2134,4,4,2,1,1,260.34
762,4,3,3,2,1,127.87
2287,5,5,25,2,3,295.21
2691,2,2,24,2,10,351.34
2893,5,5,14,1,4,355.1
1123,2,1,5,1,4,131.68
1516,5,5,14,0,2,240.61
1380,3,2,30,2,1,171.76
2549,3,3,20,1,3,308.14
3444,3,3,2,2,4,395.53
1827,3,3,24,2,3,239.18
2801,1,1,20,0,8,314.55
952,3,4,20,0,10,196.77
3608,4,4,13,0,1,379.71
1683,4,4,19,0,2,206.2
3562,1,1,13,2,7,385.53
2556,3,2,3,0,4,263.79
3804,3,2,11,0,8,424.71
3670,3,2,16,0,3,390.69
2182,5,5,6,0,6,307.7
3363,2,1,8,2,9,409.38
2755,5,4,2,0,1,314.71
1654,2,1,27,2,1,187.07
903,3,2,12,1,8,169.42
2699,3,2,14,2,3,310.86
2601,5,5,17,2,5,336.83
3691,5,5,18,0,1,389.4
2196,2,3,0,1,5,242.77
1127,4,3,5,1,6,199.49
1086,2,1,26,1,8,175.97
2148,5,5,26,1,3,282.62
1943,5,4,22,2,3,274.59
1945,1,2,26,1,10,281.85
603,5,5,26,2,9,201.31
753,1,1,1,2,4,121.61
3798,4,4,23,2,4,408.22
3683,2,1,13,1,7,404.47
3057,2,2,5,0,2,320.83
1996,1,1,13,0,8,267.75
598,2,2,3,1,6,167.63
2700,5,5,20,0,3,347.71
2384,3,3,7,0,9,336.02
3461,1,1,29,2,5,353.67
2419,2,3,2,2,8,331.51
1377,1,2,18,1,7,213.28
837,1,2,29,1,8,145.53
3369,3,3,30,0,7,366.47
3734,5,5,13,2,3,409.73
1456,1,1,26,1,2,144.34
2204,2,1,19,1,7,249.41
660,4,5,16,1,3,147.7
2103,1,1,24,1,3,206.16
3348,1,2,7,1,2,323.63
897,3,3,23,1,4,157.71
1800,5,4,13,0,8,280.73
1315,4,5,25,2,1,188.68
2027,2,2,5,2,1,242.43
2419,4,3,22,1,5,304.69
1915,2,2,21,2,5,252.35
1658,5,5,15,2,1,228.14
1718,2,1,24,2,6,236.77
900,3,3,18,1,1,136.12
1139,3,4,13,1,5,190.39
3604,3,3,18,2,9,438.18
3235,3,4,2,2,5,366.21
959,4,4,9,1,6,214.95
1454,5,4,18,0,8,242.5
969,2,2,8,2,1,119.55
3946,2,1,27,0,2,378.7
1545,3,2,19,2,9,235.45
3297,3,3,12,0,3,374.75
2193,1,1,6,0,6,250.31
2585,5,5,13,0,5,333.05
2777,4,4,30,1,2,286.44
3936,2,2,8,0,7,432.11
1062,1,1,26,0,4,123.04
2985,1,1,27,0,1,282.49
2299,2,2,22,2,4,253.97
3854,4,4,24,0,6,399.43
2574,1,1,27,2,7,288.81
725,1,1,18,0,7,130.96
3848,5,5,14,0,7,460.55
1297,4,5,19,1,3,215.57
2831,1,1,13,2,6,334.13
3426,4,3,23,0,8,407.63
1459,2,1,5,2,4,197.11
2004,3,4,20,2,8,264.21
952,1,1,28,1,2,113.14
3567,5,5,3,1,10,459.82
1315,2,1,7,1,9,209.84
1158,4,4,16,1,9,231.63
1046,2,1,29,1,8,181.52
1715,1,1,8,1,10,234.75
3620,4,4,0,1,10,440.69
516,3,3,23,1,1,94.24
3743,2,2,19,0,2,356.42
1743,1,1,24,2,6,191.86
2705,5,5,13,1,10,365.52
3024,4,5,10,1,5,348.75
1569,2,2,20,2,9,247.87
3944,2,2,2,0,5,433.37
3065,3,3,8,2,2,319.18
2646,3,3,26,2,10,347.56
2268,5,5,13,1,4,308.81
1560,5,5,29,2,9,247.84
2827,1,1,8,2,1,281.03
3920,1,2,3,1,1,407.65
3044,5,4,26,1,7,379.97
801,5,5,3,1,3,170.19
680,4,4,27,1,10,176.53
1106,3,3,7,2,2,142.19
3670,1,1,1,2,9,416.95
1199,3,2,8,0,3,193.09
1492,3,2,28,0,2,164.86
1639,5,4,13,2,8,247.64
690,4,4,21,0,10,177.03
2800,2,2,8,2,6,335.38
1480,4,4,23,0,6,217.71
3475,4,4,30,1,10,409.03
2506,3,3,30,0,7,299.74
1684,4,4,22,1,7,253.6
3827,1,1,15,1,6,374.88
3894,3,4,28,1,4,403.18
627,1,2,29,1,9,130.48
2565,2,3,16,0,6,290.93
2316,3,3,15,2,4,265.91
2258,2,2,29,1,3,252.38
3113,3,4,11,0,4,339.72
1069,5,5,2,1,3,172.63
1846,4,5,10,0,2,242.58
2395,5,5,13,0,5,321.83
3233,2,3,17,0,2,317.2
1125,4,4,20,2,6,193.91
3859,3,3,30,0,3,378.73
3401,4,4,20,0,6,383.93
2186,1,2,4,2,10,308.49
3509,4,5,15,2,9,431.15
654,1,1,19,0,1,91.32
3037,4,4,4,2,6,361.92
1909,1,1,2,1,9,253.36
1284,2,3,11,1,4,193.44
3675,5,5,0,2,2,405.71
3964,3,2,20,2,4,422.09
745,4,3,28,0,1,109.58
3747,5,5,8,2,3,419.44
3610,3,4,28,0,10,440.69
2000,3,3,8,1,9,282.57
2205,1,1,3,2,10,294.22
3306,2,1,2,0,5,361.11
1037,2,2,16,0,6,166.46
2390,5,5,1,1,3,312.56
2341,2,3,23,2,5,273.36
1420,4,4,0,1,8,234.07
2955,2,2,7,0,6,336.8
1024,5,5,12,0,4,181.45
3375,2,2,22,2,2,345.88
2029,4,4,14,0,9,312.83
3450,1,1,7,2,1,311.03
535,5,5,11,1,1,147.81
1184,1,2,21,2,4,152.06
519,1,2,11,2,7,126.39
2868,1,1,13,0,1,262.38
3059,3,3,14,0,9,373.18
899,3,4,14,2,4,164.12
3201,1,1,8,0,3,331.81
1471,5,4,18,0,1,189.44
2406,4,5,25,0,10,353.19
3018,4,4,19,2,4,356.16
1666,2,2,28,0,9,231.5
1615,5,5,21,2,10,280.46
3925,3,3,7,0,6,424.4
1333,1,1,20,1,6,173.41
2323,2,1,18,0,1,233.78
3274,4,5,5,0,10,417.53
2482,3,3,19,2,2,267.93
1353,3,3,24,2,6,206.5
550,1,1,28,0,2,63.51
1074,4,4,18,1,3,177.46
3761,5,4,3,0,4,421.06
1648,3,3,22,0,5,226.14
2697,1,1,6,1,9,334.21
2861,5,5,27,2,4,354.5
3117,4,4,27,0,9,384.21
3913,3,4,3,2,10,473.87
2852,5,4,21,2,3,329.9
2215,5,5,11,1,8,331.26
1181,5,5,12,1,1,195.07
1337,3,4,2,2,9,224.54
1577,3,2,21,0,9,239.94
3550,2,2,11,2,10,431.02
2991,4,4,1,0,2,333.31
3160,1,2,23,0,4,310.76
3540,5,5,1,1,8,437.21
2811,2,1,26,0,7,291.98
3624,1,1,22,0,1,333.25
2095,2,2,8,2,5,258.23
3551,3,3,0,1,7,413.2
504,5,5,7,0,4,154.28
1626,1,1,22,0,1,152.33
1719,1,1,5,1,9,243.14
1273,1,1,5,2,5,182.27
1376,1,1,21,1,2,145.45
1491,1,1,24,1,8,206.18
3431,2,2,17,0,2,339.55
3921,5,4,16,0,3,414.31
546,3,3,28,2,10,164.6
3414,3,3,11,0,1,343.55
3370,3,3,5,0,2,362.56
3483,3,3,25,1,7,385.94
3203,2,2,26,0,10,353.88
768,4,4,7,2,2,153.93
869,5,5,18,1,6,192.92
1135,1,1,27,2,3,123.95
1629,4,4,9,1,4,242.62
2193,3,3,0,0,8,307.78
2182,4,4,24,1,3,253.43
1156,5,5,28,1,10,228.14
619,1,1,12,0,6,116.11
1330,1,1,16,0,1,131.54
2310,5,4,2,2,7,335.73
1581,5,5,7,2,8,276.62
2474,3,2,13,0,8,296.72
1869,1,1,2,0,3,199.7
1240,4,4,15,0,10,249.9
616,2,2,12,1,1,116.99
2353,2,3,19,1,9,309.12
3338,5,5,23,1,6,394.24
1650,3,2,16,0,9,239.57
3964,2,2,12,2,7,434.74
2431,1,1,28,0,1,227.35
1512,5,5,5,1,1,198.95
2164,4,3,16,1,6,295.92
1581,5,5,13,0,5,260.08
1133,4,5,16,0,9,232.75
1012,5,5,29,1,2,154.07
3349,5,4,7,1,8,409.47
1619,5,5,10,1,5,229.82
1641,4,3,19,0,2,225.29
1059,4,3,27,1,10,206.18
987,5,5,0,1,6,239.89
3808,2,2,25,2,10,450.89
1396,3,2,6,0,8,211.92
3843,3,4,20,2,4,401.16
1712,3,2,20,2,2,210.11
1203,4,4,16,1,5,178.8
1970,4,4,29,0,2,227.34
1080,2,2,9,1,2,140.49
3337,3,3,10,0,6,398.36
3408,3,3,21,2,10,410.96
2794,5,5,29,0,9,361.22
3647,4,5,8,1,4,403.22
653,3,3,8,1,6,163.03
2179,2,3,23,1,7,265.3
1496,2,1,4,0,6,204.96
3657,3,3,16,2,8,411.78
3244,4,3,8,2,4,351.33
3856,2,2,16,0,1,356.41
1743,5,5,23,1,7,262.18
1592,2,2,20,2,3,190.16
3618,1,1,18,1,6,369.2
1508,1,2,26,0,2,160.21
2641,4,5,6,1,9,355.72
2273,3,3,22,2,1,265.09
1457,4,4,8,2,6,248.02
3559,4,4,6,1,6,411.99
952,4,5,12,0,5,186.17
1727,4,4,10,1,5,243.83
3459,5,5,13,0,1,341.44
2765,5,5,18,1,10,379.57
3021,2,2,10,2,5,338.95
2979,1,1,12,0,2,271.06
2888,4,4,30,0,7,350.97
1050,2,2,13,0,3,142.43
2135,1,2,12,2,4,247.73
1812,3,2,0,1,3,227.02
3825,5,4,7,2,3,440.59
2257,1,2,11,0,4,251.41
856,3,2,18,1,5,163.09
2570,1,1,11,2,1,268.32
2285,5,5,7,0,4,287.24
3069,5,4,7,0,8,381.45
2281,2,2,28,2,10,301.1
3671,4,4,20,2,7,419.65
3349,1,2,12,2,9,379.0
3751,1,1,11,0,5,393.12
